First	Second	frequency
a	ā	29.83
a	õ	28.73
a	i	22.1
a	ī	6.08
a	a	3.31
a	o	2.76
a	e	1.66
a	ē	1.66
a	u	1.66
a	ä	1.1
a	ū	1.1
e	i	34.15
e	õ	23.17
e	ā	13.41
e	ī	8.54
e	e	7.32
e	u	3.66
e	ō	2.44
e	ǟ	2.44
e	a	1.22
e	ē	1.22
e	ȭ	1.22
e	ǭ	1.22
i	õ	22.75
i	e	17.96
i	ā	17.37
i	i	13.77
i	ī	10.78
i	ū	4.19
i	a	3.59
i	u	2.99
i	o	1.8
i	ē	1.8
i	ō	1.2
i	ǭ	1.2
i	ǟ	0.6
o	u	25.4
o	õ	17.46
o	ā	17.46
o	ī	14.29
o	i	11.11
o	e	3.17
o	o	3.17
o	ō	1.59
o	ē	1.59
o	a	1.59
o	ȭ	1.59
o	ä	1.59
u	õ	22.43
u	o	19.63
u	ā	18.69
u	i	16.82
u	ī	13.08
u	ū	3.74
u	a	1.87
u	ē	0.93
u	ǭ	0.93
u	e	0.93
u	u	0.93
ä	ā	20.45
ä	õ	18.18
ä	i	15.91
ä	ī	11.36
ä	u	9.09
ä	a	6.82
ä	ū	6.82
ä	o	4.55
ä	ä	2.27
ä	e	2.27
ä	ǭ	2.27
õ	i	35.71
õ	ā	23.81
õ	u	19.05
õ	õ	16.67
õ	ī	4.76
ā	a	51.85
ā	i	44.44
ā	õ	3.7
ē	a	35.71
ē	i	32.14
ē	õ	28.57
ē	ȭ	3.57
ī	e	31.91
ī	õ	29.79
ī	a	23.4
ī	i	8.51
ī	ī	3.19
ī	ē	2.13
ī	ū	1.06
ō	a	68.75
ō	i	12.5
ō	õ	6.25
ō	ī	6.25
ō	ǭ	6.25
ū	o	57.61
ū	õ	13.04
ū	a	8.7
ū	i	8.7
ū	ē	4.35
ū	u	2.17
ū	ī	1.09
ū	ǟ	1.09
ū	ū	1.09
ū	ǭ	1.09
ū	e	1.09
ǟ	õ	38.71
ǟ	a	35.48
ǟ	i	22.58
ǟ	ū	3.23
ǭ	õ	36.36
ǭ	i	27.27
ǭ	a	18.18
ǭ	ī	5.45
ǭ	ȭ	3.64
ǭ	e	3.64
ǭ	ǟ	1.82
ǭ	ē	1.82
ǭ	ū	1.82
ȭ	a	44.0
ȭ	i	32.0
ȭ	õ	24.0
ȯ	õ	50.0
ȯ	i	25.0
ȯ	ā	25.0
ȱ	i	50.0
ȱ	a	50.0
