position	vowel	frequency
1	a	17.96
1	ā	2.44
1	ä	3.61
1	ǟ	2.8
1	e	7.76
1	ē	2.71
1	i	15.34
1	ī	8.57
1	o	6.68
1	ō	1.44
1	ȯ	1.17
1	ȱ	0.18
1	õ	3.7
1	ȭ	2.35
1	ǭ	4.78
1	u	10.38
1	ū	8.12

2	a	10.25
2	ā	15.1
2	ä	0.0
2	ǟ	0.0
2	e	6.69
2	ē	0.76
2	i	21.36
2	ī	6.36
2	o	7.66
2	ō	0.32
2	ȯ	0.0
2	ȱ	0.0
2	õ	27.18
2	ȭ	0.0
2	ǭ	0.0
2	u	3.34
2	ū	0.97

3	a	6.65
3	ā	5.26
3	ä	0.0
3	ǟ	0.0
3	e	2.77
3	ē	0.0
3	i	31.3
3	ī	1.94
3	o	0.83
3	ō	0.55
3	ȯ	0.0
3	ȱ	0.0
3	õ	49.31
3	ȭ	0.0
3	ǭ	0.0
3	u	1.11
3	ū	0.28

4	a	1.39
4	ā	5.56
4	ä	0.0
4	ǟ	0.0
4	e	2.78
4	ē	1.39
4	i	65.28
4	ī	2.78
4	o	0.0
4	ō	0.0
4	ȯ	0.0
4	ȱ	0.0
4	õ	20.83
4	ȭ	0.0
4	ǭ	0.0
4	u	0.0
4	ū	0.0

5	a	0.0
5	ā	0.0
5	ä	0.0
5	ǟ	0.0
5	e	7.14
5	ē	0.0
5	i	64.29
5	ī	0.0
5	o	0.0
5	ō	0.0
5	ȯ	0.0
5	ȱ	0.0
5	õ	28.57
5	ȭ	0.0
5	ǭ	0.0
5	u	0.0
5	ū	0.0

6	a	0.0
6	ā	0.0
6	ä	0.0
6	ǟ	0.0
6	e	0.0
6	ē	0.0
6	i	50.0
6	ī	0.0
6	o	0.0
6	ō	0.0
6	ȯ	0.0
6	ȱ	0.0
6	õ	50.0
6	ȭ	0.0
6	ǭ	0.0
6	u	0.0
6	ū	0.0

